location,LOC,place,potential_locations,lon,lat,id,tweet,processed,triggers
"grandcopthornewaterfronthotel, Singapore",grandcopthornewaterfronthotel,"Central Region, Singapore",Singapore ,103.8353025,1.2900873,1078330000000000000,"japanese bath salts in blue! love the smell and relax time in hot tub, feel warm like in japan. :)Ì¡åÙåÝå #japanesebathsalts #relax #grandcopthornewaterfronthotel @ singapore  https://www.instagram.com/p/br5buxjbcph/?utm_source=ig_twitter_share&igshid=1lweb0hluhg8dÌ¢åÊÌ¢åÛå_",japanese bath salts in blue love the smell and relax time in hot tub feel warm like in japan  japanesebathsalts relax grandcopthornewaterfronthotel singapore https www instagram compbr5buxjbcph utmsource igtwittershareigshid 1lweb0hluhg8d,
"nee soon medical centre, Singapore",nee soon medical centre,"North Region, Singapore",Nee Soon Medical Centre in ,103.815346,1.409928,1067610000000000000,ord smell getting stronger & stronger (@ nee soon medical centre in singapore) https://www.swarmapp.com/c/7dvghfxn5w0Ì¢åÊ,ord smell getting stronger  stronger  nee soon medical centre in singapore https www swarmapp comc7dvghfxn5w0,ord
"jurong, Singapore",jurong,"West Region, Singapore",,103.7435522,1.3328572,1044370000000000000,"kopi
six eggs
*
*
(smell and see only)
prawn pork ribs mee
taiwanese durian mooncake
fried carrot cake
minced pork porridge

what a way to start the day.Ì¡åÙå÷åÌ¡åÙå÷åâÌ¡åÙå_å£Ì¡åÙå÷å_Ì¡åÙå÷åÜ @ jurong, singapore  https://www.instagram.com/p/boilbmzbbgf/?utm_source=ig_twitter_share&igshid=1jjz7643iea7eÌ¢åÊÌ¢åÛå_","kopi
six eggs


smell and see only
prawn pork ribs mee
taiwanese durian mooncake
fried carrot cake
minced pork porridge

what a way to start the day  jurong singapore https www instagram compboilbmzbbgf utmsource igtwittershareigshid 1jjz7643iea7e",
"starbucks, Singapore",starbucks,"East Region, Singapore",Starbucks ,-80.120614,25.853093,1037570000000000000,ok... i bought it again.. tried new flavour Ì¢åÛåÏspeculate latteÌ¢åÛå got cinnamon smell... (@ starbucks - @sg_starbucks in singapore)  https://www.swarmapp.com/c/i3tvpspfedhÌ¢åÊ pic.twitter.com/ww56basxfv,ok i bought it again tried new flavour speculate latte got cinnamon smell  starbucks sgstarbucks in singapore https www swarmapp comci3tvpspfedh pic twitter comww56basxfv,cinnamon
"kampong chicken eating house, Singapore",kampong chicken eating house,"Central Region, Singapore",Kampong Chicken Eating House in ,103.8349533,1.2847539,1035840000000000000,mountain chicken smell four sea (@ kampong chicken eating house in singapore)  https://www.swarmapp.com/c/7deiegq6ldpÌ¢åÊ,mountain chicken smell four sea  kampong chicken eating house in singapore https www swarmapp comc7deiegq6ldp,chicken
"mount faber park, Singapore",mount faber park,"Central Region, Singapore",Mount Faber Park ,103.8174964,1.2737864,1032440000000000000,we found love and happiness on mount faber. taking time to smell the roses. Ì¡åÙå÷å @ mount faber park  https://www.instagram.com/p/bmzzah4h6yn9sa7wkvhzlyfxcdypknpoe07l900/?utm_source=ig_twitter_share&igshid=hyby8t65z4ugÌ¢åÊÌ¢åÛå_,we found love and happiness on mount faber taking time to smell the roses  mount faber park https www instagram compbmzzah4h6yn9sa7wkvhzlyfxcdypknpoe07l900 utmsource igtwittershareigshid hyby8t65z4ug,
"energyone jurong, Singapore",energyone jurong,"West Region, Singapore",EnergyOne Jurong in ,103.706299,1.335166,1026620000000000000,spilled coffee on my gym gloves and now the smell won't go away. #caffeinehigh (@ energyone jurong in singapore) https://www.swarmapp.com/c/lrg0lf39pyvÌ¢åÊ,spilled coffee on my gym gloves and now the smell wont go away caffeinehigh  energyone jurong in singapore https www swarmapp comclrg0lf39pyv,
"texas chicken in bedok, Singapore",texas chicken in bedok,"East Region, Singapore",texas chicken in ,103.9296548,1.3261106,1009700000000000000,"fried chicken smell also cannot cover the renovation smells Ì¡åÙå_å¢Ì¡åÙå_å¢ (@ texas chicken in bedok, singapore) https://www.swarmapp.com/c/gvhy6wbdjrdÌ¢åÊ",fried chicken smell also cannot cover the renovation smells   texas chicken in bedok singapore https www swarmapp comcgvhy6wbdjrd,chicken
"singapore polytechnic, Singapore",singapore polytechnic,"Central Region, Singapore",Singapore Polytechnic ,103.7775495,1.3097757,999160000000000000,"rabs hangover & rabs alcohol smell. hopefully time pass faster (@ singapore polytechnic (sp) - @singaporepoly in singapore, sin) https://www.swarmapp.com/c/077drdc8do9Ì¢åÊ",rabs hangover  rabs alcohol smell hopefully time pass faster  singapore polytechnic sp singaporepoly in singapore sin https www swarmapp comc077drdc8do9,alcohol
"jurong point, Singapore",jurong point,"West Region, Singapore",Jurong Point in Singapore ,103.7067297,1.3397443,997420000000000000,pasar malam food smell dammm good but my bf haven reach Ì¡åÙå÷åÁ (@ jurong point in singapore w/ @weiyongtoh) https://www.swarmapp.com/c/bikwjch5uyhÌ¢åÊ,pasar malam food smell dammm good but my bf haven reach   jurong point in singapore w weiyongtoh https www swarmapp comcbikwjch5uyh,food
"parklane shopping mall, Singapore",parklane shopping mall,"Central Region, Singapore",Parklane Shopping Mall in ,103.8493616,1.3006866,988959000000000000,omg the smell tho Ì¡åÙå÷åÓ (@ parklane shopping mall in singapore)  https://www.swarmapp.com/c/guxsgjy6ia5Ì¢åÊ,omg the smell tho   parklane shopping mall in singapore https www swarmapp comcguxsgjy6ia5,
"bus stop 77331, Singapore",bus stop 77331,"East Region, Singapore",Bus Stop 77331,103.8523114,1.3044483,982036000000000000,"got some burning smell ah ???? (@ bus stop 77331 (blk 747a) in pasir ris, singapore) https://www.swarmapp.com/c/drkalnhmhbsÌ¢åÊ",got some burning smell ah  bus stop 77331 blk 747a in pasir ris singapore https www swarmapp comcdrkalnhmhbs,burning
"marina bay sands, Singapore",marina bay sands,"Central Region, Singapore",Marina Bay Sands ,103.8596113,1.2838167,979664000000000000,missed the smell of the rain Ì¢å÷å¼Ìøåüå Ì¢å÷åÓÌøåüå @ marina bay sands  https://www.instagram.com/p/bg8zey8nyu11olhz-r2bflg0zhm1tow9mq--6q0/Ì¢åÊÌ¢åÛå_,missed the smell of the rain   marina bay sands https www instagram compbg8zey8nyu11olhz r2bflg0zhm1tow9mq 6q0,rain
"foc sentosa, Singapore",foc sentosa,"Central Region, Singapore",FOC Sentosa ,103.8249249,1.246761,976997000000000000,what the smell of weekend feels like... kiligers Ì¡åÙå_åÑ @ foc sentosa  https://www.instagram.com/p/bgpcmgqh6ib/Ì¢åÊ,what the smell of weekend feels like kiligers  foc sentosa https www instagram compbgpcmgqh6ib,weekend
"parklane shopping mall, Singapore",parklane shopping mall,"Central Region, Singapore",Parklane Shopping Mall in ,103.8493616,1.3006866,955614000000000000,i hate the smell when i step in Ì¡åÙåÐå¥Ì¡åÙååÈ (@ parklane shopping mall in singapore)  https://www.swarmapp.com/c/gj3fd28apa7Ì¢åÊ,i hate the smell when i step in   parklane shopping mall in singapore https www swarmapp comcgj3fd28apa7,
"body works, Singapore",body works,"Central Region, Singapore",Bath ,103.8341614,1.3028478,924259000000000000,never really had a signature smell bcoz there's a lot to choose from. hahaha (@ bath & body works)  https://www.swarmapp.com/c/6ojcacrtcn6Ì¢åÊ,never really had a signature smell bcoz theres a lot to choose from hahaha  bath  body works https www swarmapp comc6ojcacrtcn6,signature
"uss universal universal studios, Singapore",uss universal universal studios,"Central Region, Singapore",,103.8238084,1.2540421,900333000000000000,"smell my pits cookie Ì¡åÙå÷å_Ì¡åÙå_å¢Ì¡åÙå÷åÐ 

*
*
*
*
*
*
#uss #universal #universalstudiosÌ¢åÛå_  https://www.instagram.com/p/byiudf2jog6/Ì¢åÊ","smell my pits cookie  







 uss universal universalstudios https www instagram compbyiudf2jog6",
"the warehouse hotel, Singapore",the warehouse hotel,"Central Region, Singapore",The Warehouse Hotel ,103.837495,1.289177,898429000000000000,you can smell the weekend... Ì¡åÙååüÌ¡åÙååüÌ¡åÙååü @ the warehouse hotel  https://www.instagram.com/p/bx7mmmgbbpk/Ì¢åÊ,you can smell the weekend  the warehouse hotel https www instagram compbx7mmmgbbpk,
"wanton, Singapore",wanton,"Central Region, Singapore",,103.8467801,1.2801431,888383000000000000,"it's said that the minced pork noodle is nice. Ì¡åÙåªåÉÌ¡åÙååÈÌ¢åÛåÌ¢åªåâÌøåüåÌ¡åÙåªåÉÌ¡åÙååÈÌ¢åÛåÌ¢åªåâÌøåüåÌ¡åÙåªåÉÌ¡åÙååÈÌ¢åÛåÌ¢åªåâÌøåüå

-soup had burned smell.

-wantonÌ¢åÛå_  https://www.instagram.com/p/bwzzvfnhcwk/Ì¢åÊ","its said that the minced pork noodle is nice 

 soup had burned smell 

 wanton https www instagram compbwzzvfnhcwk",burned
"palawan beach, Singapore",palawan beach,"Central Region, Singapore",Palawan Beach ,103.8225374,1.2482777,883993000000000000,"""smell the sea and feel the sky, let your soul and spirit fly."" - van morisson @ palawan beach  https://www.instagram.com/p/bwunutifj5t/Ì¢åÊ",smell the sea and feel the sky let your soul and spirit fly  van morisson palawan beach https www instagram compbwunutifj5t,
"blk 38 upper boon keng road, Singapore",blk 38 upper boon keng road,"Central Region, Singapore","Blk 38,",103.87424,1.317928,883624000000000000,"because i buay tahan i smell like lunch (@ blk 38, upper boon keng road in geylang, singapore)  https://www.swarmapp.com/c/7w9cjbnbdrsÌ¢åÊ",because i buay tahan i smell like lunch  blk 38 upper boon keng road in geylang singapore https www swarmapp comc7w9cjbnbdrs,
"sakae teppanyaki, Singapore",sakae teppanyaki,"East Region, Singapore",Sakae Teppanyaki in ,103.9054251,1.3012051,883297000000000000,gna smell like fried food all over me Ì¡åÙå÷åÌ¢å÷å_Ìøåüå (@ sakae teppanyaki in singapore)  https://www.swarmapp.com/c/0dqzpafngapÌ¢åÊ,gna smell like fried food all over me   sakae teppanyaki in singapore https www swarmapp comc0dqzpafngap,food gna
"putian flavor, Singapore",putian flavor,"North-East Region, Singapore",PuTian ,103.8868857,1.3536838,875935000000000000,"""smell is to eat out"" (@ putian flavor)  https://www.swarmapp.com/c/jhusyqhrvgtÌ¢åÊ pic.twitter.com/xhk1k7mfpy",smell is to eat out  putian flavor https www swarmapp comcjhusyqhrvgt pic twitter comxhk1k7mfpy,
"hyang to gol, Singapore",hyang to gol,"Central Region, Singapore",,103.853679,1.293548,867596000000000000,smell so good! Ì¡åÙå÷å lunch with boss and clients Ì¡åÙå÷åÜ (@ hyang-to-gol korean restaurant in singapore)  https://www.swarmapp.com/c/kiov61cnxxwÌ¢åÊ,smell so good  lunch with boss and clients   hyang to gol korean restaurant in singapore https www swarmapp comckiov61cnxxw,
"little india, Singapore",little india,"Central Region, Singapore",Little India ,103.851819,1.3065597,866611000000000000,when you smell something really bad but still wanna look cool. lol Ì¡åÙåªå_ @ little india  https://www.instagram.com/p/buzgswpllku/Ì¢åÊ,when you smell something really bad but still wanna look cool lol  little india https www instagram compbuzgswpllku,
"man man, Singapore",man man,"Central Region, Singapore",Man Man ,103.8413659,1.278822,855654000000000000,queued for 45mins.. but the chargrilled eel smell worth the time (@ man man Ì©å¡åÈÌ_å¼åÛ japanese unagi restaurant) https://www.swarmapp.com/c/fipaxjzujblÌ¢åÊ,queued for 45mins but the chargrilled eel smell worth the time  man man  japanese unagi restaurant https www swarmapp comcfipaxjzujbl,eel
"tampines, Singapore",tampines,"East Region, Singapore",Tampines True Fitness ,103.9567879,1.3495907,855633000000000000,i smell so goooood post-gym Ì¡åÙåÐåÐÌ¡åÙåå_Ì¡åÙå´å_ @ tampines true fitness  https://www.instagram.com/p/btlg0nggon2-mvqbbmg4mi0gqwr08xd19tyddc0/Ì¢åÊÌ¢åÛå_,i smell so goooood post gym  tampines true fitness https www instagram compbtlg0nggon2 mvqbbmg4mi0gqwr08xd19tyddc0,
"tulipmania gardens by the bay, Singapore",tulipmania gardens by the bay,"Central Region, Singapore",,103.8636132,1.2815683,853031000000000000,stop and smell the... tulips Ì¡åÙåÎåá #tulipmania #gardensbythebay #singapore #gbtulipmania #tulipsÌ¢åÛå_  https://www.instagram.com/p/bs4nahtari5/Ì¢åÊ,stop and smell the tulips  tulipmania gardensbythebay singapore gbtulipmania tulips https www instagram compbs4nahtari5,
"bus stop 05013, Singapore",bus stop 05013,"Central Region, Singapore",Bus Stop 05013,103.8430462,1.2841235,852370000000000000,bus bus. they are cleaning the sewers here. yucks smell (@ bus stop 05013 (people's park complex) in singapore)  https://www.swarmapp.com/c/5c92xqcwx3nÌ¢åÊ,bus bus they are cleaning the sewers here yucks smell  bus stop 05013 peoples park complex in singapore https www swarmapp comc5c92xqcwx3n,yucks
"ngee ann polytechnic, Singapore",ngee ann polytechnic,"Central Region, Singapore",Ngee Ann Polytechnic ,103.7743581,1.332064,834621000000000000,i smell freedom (@ ngee ann polytechnic (np) - @ngeeannnp in singapore)  https://www.swarmapp.com/c/4yoeray4ddfÌ¢åÊ,i smell freedom  ngee ann polytechnic np ngeeannnp in singapore https www swarmapp comc4yoeray4ddf,
"dona manis cake shop, Singapore",dona manis cake shop,"Central Region, Singapore",Dona Manis Cake Shop in ,103.900964,1.3038439,832840000000000000,coz no one can resist the smell of butter~ (@ dona manis cake shop in singapore)  https://www.swarmapp.com/c/aufluymhkmvÌ¢åÊ,coz no one can resist the smell of butter  dona manis cake shop in singapore https www swarmapp comcaufluymhkmv,
"travel goals, Singapore",travel goals,"Central Region, Singapore",,103.6803242,1.3442459,812939000000000000,the smell of salt and sand Ì¡åÙåå_ #travel #goals #singapore #beach #instapic #adventure @ tanjongÌ¢åÛå_  https://www.instagram.com/p/bobv5zqdxp7/Ì¢åÊ,the smell of salt and sand  travel goals singapore beach instapic adventure tanjong https www instagram compbobv5zqdxp7,salt
"chellelovesarts singapore art museum, Singapore",chellelovesarts singapore art museum,"Central Region, Singapore",Singapore Art Museum ,103.8510615,1.2973072,807839000000000000,the sweet smell of incense. Ì¡åÙå÷å #chellelovesarts @ singapore art museum  https://www.instagram.com/p/bn3gso7jtwf/Ì¢åÊ,the sweet smell of incense  chellelovesarts singapore art museum https www instagram compbn3gso7jtwf,sweet
"woodlands checkpoint, Singapore",woodlands checkpoint,"North Region, Singapore",Woodlands Checkpoint ,103.7688586,1.4538397,804738000000000000,come here smell smoke for 1 hour (@ woodlands checkpoint (causeway) in singapore w/ @dariuschong) https://www.swarmapp.com/c/hihezyasgocÌ¢åÊ,come here smell smoke for 1 hour  woodlands checkpoint causeway in singapore w dariuschong https www swarmapp comchihezyasgoc,here
"universal studios , Singapore",universal studios ,"Central Region, Singapore",Universal Studios Singapore ,103.8238084,1.2540421,803852000000000000,"""i like the smell of napalm in the morning."" Ì¡åÙåÎåÌ¡åÙåàåüÌ¡åÙåàåÂ #singapore @ universal studios singapore  https://www.instagram.com/p/bnblovubd97/Ì¢åÊ",i like the smell of napalm in the morning   singapore universal studios singapore https www instagram compbnblovubd97,
"westgate mall, Singapore",westgate mall,"West Region, Singapore",Westgate ,103.742798,1.334533,801672000000000000,"ohhh the smell of everyday freshness and sweet aroma, i crave Ì¡åÙå÷åªÌ¡åÙå÷å @ westgate mall, singapore  https://www.instagram.com/p/bnlr26cbnp3/Ì¢åÊ",ohhh the smell of everyday freshness and sweet aroma i crave  westgate mall singapore https www instagram compbnlr26cbnp3,freshness
"the lab sg, Singapore",the lab sg,"Central Region, Singapore",The Lab SG ,103.902951,1.303798,794537000000000000,i smell like coffee and bad decisions. Ì¢å÷å¥Ìøåüå @ the lab sg  https://www.instagram.com/p/bmy_rp-d5lt/Ì¢åÊ,i smell like coffee and bad decisions  the lab sg https www instagram compbmyrp d5lt,coffee
"woodlands checkpoint, Singapore",woodlands checkpoint,"North Region, Singapore",Woodlands Checkpoint ,103.7688586,1.4538397,794015000000000000,3 hours away from home i can fucking smell it (@ woodlands checkpoint (causeway) in singapore)  https://www.swarmapp.com/c/cobbcj6fuioÌ¢åÊ,3 hours away from home i can fucking smell it  woodlands checkpoint causeway in singapore https www swarmapp comccobbcj6fuio,fucking
"tanjong rhu prawn noodles, Singapore",tanjong rhu prawn noodles,"Central Region, Singapore",Tanjong Rhu Prawn ,103.8836734,1.3022053,793598000000000000,father and son love the tenderness and no heavy smell (@ tanjong rhu prawn noodles)  https://www.swarmapp.com/c/hcallkdh540Ì¢åÊ pic.twitter.com/jhzs1p01py,father and son love the tenderness and no heavy smell  tanjong rhu prawn noodles https www swarmapp comchcallkdh540 pic twitter comjhzs1p01py,heavy
"bendemeer market, Singapore",bendemeer market,"Central Region, Singapore",Bendemeer Market ,103.863248,1.319079,793270000000000000,the fishy smell here is so strong urgh (@ bendemeer market & food centre in singapore)  https://www.swarmapp.com/c/3v3ciuyhq4kÌ¢åÊ,the fishy smell here is so strong urgh  bendemeer market  food centre in singapore https www swarmapp comc3v3ciuyhq4k,fishy
"bvlgari singapore fashion week, Singapore",bvlgari singapore fashion week,"Central Region, Singapore",Singapore Fashion Week ,103.8346499,1.3023765,792353000000000000,all i can smell is chanel & bvlgari. @ singapore fashion week  https://www.instagram.com/p/bmjewwld49j/Ì¢åÊ,all i can smell is chanel  bvlgari singapore fashion week https www instagram compbmjewwld49j,
